iter	Passed	Remaining
0	223	222934
1	227	113456
2	231	77039
3	235	58709
4	239	47719
5	244	40430
6	248	35253
7	252	31304
8	256	28259
9	260	25778
10	262	23635
11	265	21838
12	267	20327
13	270	19024
14	272	17898
15	275	16922
16	277	16057
17	280	15277
18	282	14584
19	284	13960
20	287	13398
21	289	12885
22	291	12367
23	292	11889
24	293	11451
25	294	11046
26	296	10671
27	297	10324
28	298	9998
29	299	9695
30	301	9413
31	302	9147
32	303	8902
33	305	8667
34	306	8446
35	307	8236
36	308	8037
37	310	7849
38	311	7672
39	312	7501
40	313	7339
41	315	7186
42	316	7039
43	317	6902
44	318	6768
45	320	6642
46	321	6522
47	322	6405
48	324	6292
49	325	6183
50	326	6079
51	327	5978
52	329	5881
53	330	5788
54	331	5701
55	333	5614
56	334	5530
57	335	5450
58	336	5371
59	337	5295
60	339	5222
61	340	5152
62	341	5083
63	343	5016
64	344	4953
65	345	4894
66	347	4835
67	347	4768
68	349	4710
69	350	4655
70	351	4601
71	352	4548
72	354	4497
73	355	4447
74	356	4398
75	357	4350
76	359	4304
77	360	4259
78	361	4216
79	363	4174
80	364	4133
81	365	4093
82	367	4055
83	368	4019
84	369	3976
85	370	3940
86	371	3899
87	372	3864
88	374	3830
89	375	3796
90	376	3763
91	377	3730
92	379	3698
93	380	3667
94	381	3636
95	382	3606
96	384	3576
97	385	3547
98	386	3519
99	387	3491
100	389	3464
101	389	3432
102	391	3407
103	392	3381
104	393	3355
105	394	3330
106	396	3305
107	397	3281
108	398	3258
109	399	3234
110	401	3211
111	402	3190
112	403	3168
113	404	3146
114	406	3124
115	407	3102
116	408	3081
117	409	3061
118	410	3039
119	411	3020
120	413	3001
121	414	2982
122	415	2960
123	416	2943
124	418	2927
125	419	2912
126	421	2896
127	422	2878
128	424	2863
129	425	2849
130	427	2833
131	428	2817
132	429	2801
133	431	2787
134	432	2773
135	434	2758
136	435	2745
137	436	2729
138	438	2715
139	439	2702
140	441	2688
141	442	2674
142	444	2661
143	445	2647
144	446	2635
145	448	2622
146	449	2609
147	450	2595
148	452	2584
149	453	2572
150	455	2560
151	456	2547
152	457	2535
153	459	2523
154	460	2511
155	461	2499
156	463	2487
157	464	2476
158	466	2466
159	468	2459
160	470	2452
161	472	2442
162	473	2433
163	476	2427
164	478	2419
165	479	2409
166	481	2400
167	482	2391
168	484	2381
169	485	2371
170	487	2361
171	488	2351
172	489	2342
173	491	2332
174	492	2322
175	494	2313
176	495	2304
177	497	2298
178	499	2292
179	501	2284
180	502	2272
181	503	2263
182	504	2254
183	506	2244
184	507	2235
185	508	2226
186	510	2218
187	511	2211
188	513	2204
189	515	2195
190	516	2187
191	517	2178
192	518	2169
193	520	2160
194	521	2152
195	522	2143
196	523	2135
197	524	2126
198	526	2120
199	528	2113
200	529	2105
201	530	2097
202	532	2089
203	533	2080
204	534	2072
205	535	2064
206	537	2057
207	538	2049
208	539	2041
209	540	2034
210	542	2028
211	543	2021
212	544	2013
213	546	2006
214	547	1998
215	548	1991
216	549	1983
217	551	1976
218	552	1969
219	553	1962
220	554	1955
221	555	1948
222	557	1941
223	558	1934
224	559	1927
225	560	1920
226	562	1913
227	563	1907
228	564	1900
229	565	1893
230	566	1887
231	568	1880
232	569	1874
233	570	1868
234	572	1862
235	573	1856
236	574	1850
237	576	1844
238	577	1838
239	578	1832
240	580	1826
241	581	1820
242	582	1814
243	583	1808
244	585	1802
245	586	1797
246	587	1791
247	588	1785
248	590	1779
249	591	1773
250	592	1768
251	593	1762
252	594	1756
253	596	1750
254	597	1745
255	598	1739
256	599	1734
257	601	1728
258	602	1723
259	603	1717
260	604	1712
261	605	1706
262	607	1701
263	608	1696
264	609	1690
265	610	1685
266	612	1680
267	613	1675
268	614	1670
269	615	1665
270	617	1660
271	618	1654
272	619	1649
273	620	1644
274	621	1639
275	623	1634
276	624	1629
277	625	1625
278	627	1620
279	628	1616
280	629	1611
281	630	1606
282	632	1601
283	633	1596
284	634	1592
285	635	1587
286	637	1582
287	638	1578
288	639	1573
289	640	1569
290	642	1564
291	643	1559
292	644	1555
293	645	1551
294	647	1546
295	649	1543
296	650	1539
297	651	1535
298	652	1530
299	654	1526
300	655	1521
301	656	1517
302	657	1513
303	659	1508
304	660	1504
305	661	1500
306	662	1495
307	663	1491
308	665	1487
309	666	1483
310	667	1479
311	668	1475
312	670	1471
313	671	1466
314	672	1462
315	673	1458
316	675	1454
317	676	1450
318	677	1446
319	678	1442
320	679	1438
321	681	1434
322	682	1430
323	683	1426
324	684	1422
325	686	1418
326	687	1414
327	688	1410
328	689	1407
329	691	1403
330	692	1399
331	693	1395
332	694	1391
333	695	1387
334	697	1384
335	698	1380
336	699	1376
337	700	1372
338	702	1369
339	703	1365
340	704	1361
341	705	1358
342	707	1354
343	708	1350
344	709	1347
345	710	1343
346	712	1340
347	713	1336
348	714	1332
349	715	1329
350	716	1325
351	718	1322
352	719	1318
353	720	1315
354	721	1311
355	723	1308
356	724	1304
357	725	1301
358	726	1297
359	728	1294
360	729	1290
361	730	1287
362	731	1283
363	732	1280
364	734	1277
365	735	1274
366	736	1270
367	738	1267
368	739	1264
369	740	1260
370	741	1257
371	743	1254
372	744	1250
373	745	1247
374	746	1244
375	747	1241
376	749	1238
377	750	1234
378	751	1231
379	753	1228
380	754	1225
381	755	1222
382	756	1218
383	757	1215
384	759	1212
385	760	1209
386	761	1206
387	762	1203
388	764	1200
389	765	1197
390	766	1194
391	768	1191
392	769	1188
393	770	1185
394	771	1181
395	772	1178
396	774	1175
397	775	1172
398	776	1169
399	777	1166
400	779	1163
401	780	1160
402	781	1157
403	783	1155
404	784	1152
405	785	1149
406	786	1146
407	788	1143
408	789	1140
409	790	1137
410	791	1134
411	792	1131
412	794	1128
413	795	1125
414	796	1123
415	798	1120
416	799	1117
417	800	1114
418	801	1111
419	803	1109
420	804	1106
421	805	1103
422	806	1100
423	808	1097
424	809	1095
425	810	1092
426	811	1089
427	813	1086
428	814	1083
429	815	1081
430	816	1078
431	818	1075
432	819	1072
433	820	1070
434	821	1067
435	823	1064
436	824	1062
437	825	1059
438	826	1056
439	828	1054
440	829	1051
441	830	1048
442	831	1046
443	833	1043
444	834	1040
445	835	1038
446	836	1035
447	838	1032
448	839	1030
449	840	1027
450	841	1024
451	843	1022
452	844	1019
453	845	1016
454	846	1014
455	848	1011
456	849	1009
457	850	1006
458	852	1004
459	853	1001
460	854	999
461	855	996
462	856	993
463	858	991
464	859	988
465	860	986
466	861	983
467	863	981
468	864	978
469	865	976
470	866	973
471	868	971
472	869	968
473	870	966
474	871	963
475	873	961
476	874	958
477	875	956
478	876	953
479	878	951
480	879	948
481	880	946
482	881	943
483	883	941
484	884	938
485	885	936
486	886	934
487	887	931
488	889	929
489	890	926
490	891	924
491	892	921
492	894	919
493	895	917
494	896	914
495	897	912
496	899	909
497	900	907
498	901	905
499	902	902
500	904	900
501	905	897
502	906	895
503	907	893
504	909	891
505	910	888
506	911	886
507	912	884
508	914	881
509	915	879
510	916	877
511	917	874
512	919	872
513	920	870
514	921	868
515	923	865
516	924	863
517	925	861
518	926	858
519	927	856
520	929	854
521	930	852
522	931	849
523	932	847
524	934	845
525	935	842
526	936	840
527	938	838
528	939	836
529	940	834
530	941	831
531	943	829
532	944	827
533	945	825
534	946	822
535	948	820
536	949	818
537	950	816
538	951	813
539	952	811
540	954	809
541	955	807
542	956	805
543	957	802
544	959	800
545	960	798
546	961	796
547	962	794
548	963	791
549	965	789
550	966	787
551	967	785
552	968	783
553	970	781
554	971	778
555	972	776
556	973	774
557	975	772
558	976	770
559	977	768
560	978	766
561	980	763
562	981	761
563	982	759
564	983	757
565	985	755
566	986	753
567	987	751
568	988	749
569	990	746
570	991	744
571	992	742
572	993	740
573	995	738
574	996	736
575	997	734
576	998	732
577	1000	730
578	1001	728
579	1002	726
580	1003	723
581	1004	721
582	1006	719
583	1007	717
584	1008	715
585	1010	713
586	1011	711
587	1012	709
588	1013	707
589	1015	705
590	1016	703
591	1017	701
592	1018	699
593	1020	697
594	1021	695
595	1022	693
596	1023	691
597	1024	689
598	1026	686
599	1027	684
600	1028	682
601	1029	680
602	1031	678
603	1032	676
604	1033	674
605	1034	672
606	1036	670
607	1037	668
608	1038	666
609	1039	664
610	1041	662
611	1042	660
612	1043	658
613	1044	656
614	1045	654
615	1047	652
616	1048	650
617	1049	648
618	1051	646
619	1052	644
620	1053	643
621	1054	641
622	1056	639
623	1057	637
624	1058	635
625	1059	633
626	1060	631
627	1062	629
628	1063	627
629	1064	625
630	1065	623
631	1067	621
632	1068	619
633	1069	617
634	1070	615
635	1071	613
636	1073	611
637	1074	609
638	1075	607
639	1077	605
640	1078	604
641	1079	602
642	1080	600
643	1082	598
644	1083	596
645	1084	594
646	1085	592
647	1087	590
648	1088	588
649	1089	586
650	1090	584
651	1092	582
652	1093	580
653	1094	579
654	1095	577
655	1096	575
656	1098	573
657	1099	571
658	1100	569
659	1101	567
660	1103	565
661	1104	563
662	1105	562
663	1106	560
664	1108	558
665	1109	556
666	1110	554
667	1112	552
668	1113	550
669	1114	548
670	1115	547
671	1117	545
672	1118	543
673	1119	541
674	1120	539
675	1122	537
676	1123	535
677	1124	534
678	1125	532
679	1127	530
680	1128	528
681	1129	526
682	1130	524
683	1132	523
684	1133	521
685	1134	519
686	1135	517
687	1137	515
688	1138	513
689	1139	512
690	1140	510
691	1142	508
692	1143	506
693	1144	504
694	1145	502
695	1147	501
696	1148	499
697	1149	497
698	1151	495
699	1152	493
700	1153	492
701	1154	490
702	1156	488
703	1157	486
704	1158	484
705	1159	482
706	1160	480
707	1161	479
708	1163	477
709	1164	475
710	1165	473
711	1166	472
712	1168	470
713	1169	468
714	1170	466
715	1171	464
716	1173	463
717	1174	461
718	1175	459
719	1176	457
720	1178	455
721	1179	454
722	1180	452
723	1182	450
724	1183	448
725	1184	447
726	1185	445
727	1186	443
728	1188	441
729	1189	439
730	1190	438
731	1192	436
732	1193	434
733	1194	432
734	1195	431
735	1196	429
736	1198	427
737	1199	425
738	1200	424
739	1201	422
740	1203	420
741	1204	418
742	1205	417
743	1207	415
744	1208	413
745	1209	411
746	1210	410
747	1211	408
748	1213	406
749	1214	404
750	1215	403
751	1216	401
752	1218	399
753	1219	397
754	1220	396
755	1222	394
756	1223	392
757	1224	390
758	1225	389
759	1227	387
760	1228	385
761	1229	384
762	1230	382
763	1232	380
764	1233	378
765	1234	377
766	1235	375
767	1237	373
768	1238	371
769	1239	370
770	1240	368
771	1242	366
772	1243	365
773	1244	363
774	1245	361
775	1247	359
776	1248	358
777	1249	356
778	1250	354
779	1252	353
780	1253	351
781	1254	349
782	1255	348
783	1257	346
784	1258	344
785	1259	342
786	1260	341
787	1262	339
788	1263	337
789	1265	336
790	1266	334
791	1267	333
792	1269	331
793	1270	329
794	1272	328
795	1273	326
796	1274	324
797	1275	322
798	1277	321
799	1278	319
800	1279	317
801	1280	316
802	1282	314
803	1283	312
804	1284	311
805	1285	309
806	1287	307
807	1288	306
808	1289	304
809	1290	302
810	1292	301
811	1293	299
812	1294	297
813	1295	296
814	1297	294
815	1298	292
816	1299	291
817	1300	289
818	1301	287
819	1303	286
820	1304	284
821	1305	282
822	1306	281
823	1308	279
824	1309	277
825	1310	276
826	1311	274
827	1312	272
828	1314	271
829	1315	269
830	1316	267
831	1318	266
832	1319	264
833	1320	262
834	1321	261
835	1323	259
836	1324	257
837	1325	256
838	1326	254
839	1327	252
840	1329	251
841	1330	249
842	1331	248
843	1332	246
844	1334	244
845	1335	243
846	1336	241
847	1337	239
848	1339	238
849	1340	236
850	1341	234
851	1342	233
852	1344	231
853	1345	229
854	1346	228
855	1347	226
856	1349	225
857	1350	223
858	1351	221
859	1352	220
860	1353	218
861	1355	216
862	1356	215
863	1357	213
864	1358	212
865	1360	210
866	1361	208
867	1362	207
868	1363	205
869	1365	203
870	1366	202
871	1367	200
872	1368	199
873	1370	197
874	1371	195
875	1372	194
876	1374	192
877	1375	191
878	1376	189
879	1377	187
880	1378	186
881	1380	184
882	1381	183
883	1382	181
884	1383	179
885	1385	178
886	1386	176
887	1387	175
888	1388	173
889	1390	171
890	1391	170
891	1392	168
892	1394	167
893	1395	165
894	1396	163
895	1397	162
896	1398	160
897	1400	159
898	1401	157
899	1402	155
900	1404	154
901	1405	152
902	1406	151
903	1407	149
904	1409	147
905	1410	146
906	1411	144
907	1412	143
908	1413	141
909	1415	139
910	1416	138
911	1417	136
912	1418	135
913	1420	133
914	1421	132
915	1422	130
916	1423	128
917	1425	127
918	1426	125
919	1427	124
920	1428	122
921	1430	120
922	1431	119
923	1432	117
924	1433	116
925	1435	114
926	1436	113
927	1437	111
928	1438	109
929	1439	108
930	1441	106
931	1442	105
932	1443	103
933	1445	102
934	1446	100
935	1447	98
936	1448	97
937	1449	95
938	1450	94
939	1452	92
940	1453	91
941	1454	89
942	1455	88
943	1457	86
944	1458	84
945	1459	83
946	1461	81
947	1462	80
948	1463	78
949	1464	77
950	1466	75
951	1467	73
952	1468	72
953	1469	70
954	1471	69
955	1472	67
956	1473	66
957	1474	64
958	1475	63
959	1477	61
960	1478	60
961	1479	58
962	1480	56
963	1482	55
964	1483	53
965	1484	52
966	1485	50
967	1487	49
968	1488	47
969	1489	46
970	1490	44
971	1492	42
972	1493	41
973	1494	39
974	1495	38
975	1497	36
976	1498	35
977	1499	33
